x_distance,y_distance,sound_intensity,direction
-5.000000000000000000e+01,-5.000000000000000000e+01,1.430102999566398125e+02,7.853981633974482790e-01
-4.900000000000000000e+01,-5.000000000000000000e+01,1.430971529748737225e+02,7.925922838877403898e-01
-4.800000000000000000e+01,-5.000000000000000000e+01,1.431839700126913044e+02,7.998899024629483323e-01
-4.700000000000000000e+01,-5.000000000000000000e+01,1.432707130955727735e+02,8.072924745202266772e-01
-4.600000000000000000e+01,-5.000000000000000000e+01,1.433573419985232533e+02,8.148014516014534525e-01
-4.500000000000000000e+01,-5.000000000000000000e+01,1.434438141645877636e+02,8.224182792713783385e-01
-4.400000000000000000e+01,-5.000000000000000000e+01,1.435300846252287670e+02,8.301443948520639271e-01
-4.300000000000000000e+01,-5.000000000000000000e+01,1.436161059233466517e+02,8.379812250083900071e-01
-4.200000000000000000e+01,-5.000000000000000000e+01,1.437018280398148420e+02,8.459301831795554838e-01
-4.100000000000000000e+01,-5.000000000000000000e+01,1.437871983244958471e+02,8.539926668517229258e-01
-4.000000000000000000e+01,-5.000000000000000000e+01,1.438721614328026419e+02,8.621700546672264043e-01
-3.900000000000000000e+01,-5.000000000000000000e+01,1.439566592689708955e+02,8.704637033660932444e-01
-3.800000000000000000e+01,-5.000000000000000000e+01,1.440406309373082649e+02,8.788749445560377627e-01
-3.700000000000000000e+01,-5.000000000000000000e+01,1.441240127027875531e+02,8.874050813075603505e-01
-3.600000000000000000e+01,-5.000000000000000000e+01,1.442067379624474484e+02,8.960553845713439269e-01
-3.500000000000000000e+01,-5.000000000000000000e+01,1.442887372291568795e+02,9.048270894157867117e-01
-3.400000000000000000e+01,-5.000000000000000000e+01,1.443699381293820636e+02,9.137213910832431285e-01
-3.300000000000000000e+01,-5.000000000000000000e+01,1.444502654166676052e+02,9.227394408643821988e-01
-3.200000000000000000e+01,-5.000000000000000000e+01,1.445296410025999023e+02,9.318823417910094831e-01
-3.100000000000000000e+01,-5.000000000000000000e+01,1.446079840070587181e+02,9.411511441487406815e-01
-3.000000000000000000e+01,-5.000000000000000000e+01,1.446852108295774428e+02,9.505468408120751889e-01
-2.900000000000000000e+01,-5.000000000000000000e+01,1.447612352436186711e+02,9.600703624056879937e-01
-2.800000000000000000e+01,-5.000000000000000000e+01,1.448359685155259626e+02,9.697225722971473116e-01
-2.700000000000000000e+01,-5.000000000000000000e+01,1.449093195498283819e+02,9.795042614277752469e-01
-2.600000000000000000e+01,-5.000000000000000000e+01,1.449811950624494159e+02,9.894161429899969162e-01
-2.500000000000000000e+01,-5.000000000000000000e+01,1.450514997831990627e+02,9.994588469612698534e-01
-2.400000000000000000e+01,-5.000000000000000000e+01,1.451201366887060544e+02,1.009632914506544354e+00
-2.300000000000000000e+01,-5.000000000000000000e+01,1.451870072666714577e+02,1.019938792263180405e+00
-2.200000000000000000e+01,-5.000000000000000000e+01,1.452520118119936967e+02,1.030376826524312506e+00
-2.100000000000000000e+01,-5.000000000000000000e+01,1.453150497549293050e+02,1.040947257338830090e+00
-2.000000000000000000e+01,-5.000000000000000000e+01,1.453760200210104472e+02,1.051650212548373764e+00
-1.900000000000000000e+01,-5.000000000000000000e+01,1.454348214219473903e+02,1.062485701784069425e+00
-1.800000000000000000e+01,-5.000000000000000000e+01,1.454913530762023299e+02,1.073453610448074080e+00
-1.700000000000000000e+01,-5.000000000000000000e+01,1.455455148573394979e+02,1.084553693707391631e+00
-1.600000000000000000e+01,-5.000000000000000000e+01,1.455972078676441015e+02,1.095785570529799857e+00
-1.500000000000000000e+01,-5.000000000000000000e+01,1.456463349338733906e+02,1.107148717794090409e+00
-1.400000000000000000e+01,-5.000000000000000000e+01,1.456928011213671823e+02,1.118642464509121082e+00
-1.300000000000000000e+01,-5.000000000000000000e+01,1.457365142621249277e+02,1.130265986178383475e+00
-1.200000000000000000e+01,-5.000000000000000000e+01,1.457773854918639813e+02,1.142018299348880328e+00
-1.100000000000000000e+01,-5.000000000000000000e+01,1.458153297905340082e+02,1.153898256385002874e+00
-1.000000000000000000e+01,-5.000000000000000000e+01,1.458502665202918251e+02,1.165904540509813181e+00
-9.000000000000000000e+00,-5.000000000000000000e+01,1.458821199545613183e+02,1.178035661157575076e+00
-8.000000000000000000e+00,-5.000000000000000000e+01,1.459108197915322194e+02,1.190289949682531656e+00
-7.000000000000000000e+00,-5.000000000000000000e+01,1.459363016453073101e+02,1.202665555469732972e+00
-6.000000000000000000e+00,-5.000000000000000000e+01,1.459585075079030503e+02,1.215160442494136905e+00
-5.000000000000000000e+00,-5.000000000000000000e+01,1.459773861754532049e+02,1.227772386374193170e+00
-4.000000000000000000e+00,-5.000000000000000000e+01,1.459928936322676805e+02,1.240498971965642960e+00
-3.000000000000000000e+00,-5.000000000000000000e+01,1.460049933868538972e+02,1.253337591540265583e+00
-2.000000000000000000e+00,-5.000000000000000000e+01,1.460136567546160791e+02,1.266285443592784166e+00
-1.000000000000000000e+00,-5.000000000000000000e+01,1.460188630826949634e+02,1.279339532317029571e+00
0.000000000000000000e+00,-5.000000000000000000e+01,1.460205999132796251e+02,1.292496667789785336e+00
1.000000000000000000e+00,-5.000000000000000000e+01,1.460188630826949634e+02,1.305753466897442205e+00
2.000000000000000000e+00,-5.000000000000000000e+01,1.460136567546160791e+02,1.319106355036709921e+00
3.000000000000000000e+00,-5.000000000000000000e+01,1.460049933868538972e+02,1.332551568616151538e+00
4.000000000000000000e+00,-5.000000000000000000e+01,1.459928936322676805e+02,1.346085158380253999e+00
5.000000000000000000e+00,-5.000000000000000000e+01,1.459773861754532049e+02,1.359702993572150076e+00
6.000000000000000000e+00,-5.000000000000000000e+01,1.459585075079030503e+02,1.373400766945015894e+00
7.000000000000000000e+00,-5.000000000000000000e+01,1.459363016453073101e+02,1.387174000625616577e+00
8.000000000000000000e+00,-5.000000000000000000e+01,1.459108197915322194e+02,1.401018052826558113e+00
9.000000000000000000e+00,-5.000000000000000000e+01,1.458821199545613183e+02,1.414928125396574199e+00
1.000000000000000000e+01,-5.000000000000000000e+01,1.458502665202918251e+02,1.428899272190732761e+00
1.100000000000000000e+01,-5.000000000000000000e+01,1.458153297905340082e+02,1.442926408234896707e+00
1.200000000000000000e+01,-5.000000000000000000e+01,1.457773854918639813e+02,1.457004319651188595e+00
1.300000000000000000e+01,-5.000000000000000000e+01,1.457365142621249277e+02,1.471127674303734700e+00
1.400000000000000000e+01,-5.000000000000000000e+01,1.456928011213671823e+02,1.485291033116691972e+00
1.500000000000000000e+01,-5.000000000000000000e+01,1.456463349338733906e+02,1.499488862009606294e+00
1.600000000000000000e+01,-5.000000000000000000e+01,1.455972078676441015e+02,1.513715544388632095e+00
1.700000000000000000e+01,-5.000000000000000000e+01,1.455455148573394979e+02,1.527965394126169274e+00
1.800000000000000000e+01,-5.000000000000000000e+01,1.454913530762023299e+02,1.542232668956136532e+00
1.900000000000000000e+01,-5.000000000000000000e+01,1.454348214219473903e+02,1.556511584207499910e+00
2.000000000000000000e+01,-5.000000000000000000e+01,1.453760200210104472e+02,1.570796326794896558e+00
2.100000000000000000e+01,-5.000000000000000000e+01,1.453150497549293050e+02,1.585081069382293206e+00
2.200000000000000000e+01,-5.000000000000000000e+01,1.452520118119936967e+02,1.599359984633656584e+00
2.300000000000000000e+01,-5.000000000000000000e+01,1.451870072666714577e+02,1.613627259463623842e+00
2.400000000000000000e+01,-5.000000000000000000e+01,1.451201366887060544e+02,1.627877109201161243e+00
2.500000000000000000e+01,-5.000000000000000000e+01,1.450514997831990627e+02,1.642103791580187044e+00
2.600000000000000000e+01,-5.000000000000000000e+01,1.449811950624494159e+02,1.656301620473101366e+00
2.700000000000000000e+01,-5.000000000000000000e+01,1.449093195498283819e+02,1.670464979286058638e+00
2.800000000000000000e+01,-5.000000000000000000e+01,1.448359685155259626e+02,1.684588333938604743e+00
2.900000000000000000e+01,-5.000000000000000000e+01,1.447612352436186711e+02,1.698666245354896409e+00
3.000000000000000000e+01,-5.000000000000000000e+01,1.446852108295774428e+02,1.712693381399060577e+00
3.100000000000000000e+01,-5.000000000000000000e+01,1.446079840070587181e+02,1.726664528193219139e+00
3.200000000000000000e+01,-5.000000000000000000e+01,1.445296410025999023e+02,1.740574600763235003e+00
3.300000000000000000e+01,-5.000000000000000000e+01,1.444502654166676052e+02,1.754418652964176761e+00
3.400000000000000000e+01,-5.000000000000000000e+01,1.443699381293820636e+02,1.768191886644777444e+00
3.500000000000000000e+01,-5.000000000000000000e+01,1.442887372291568795e+02,1.781889660017643262e+00
3.600000000000000000e+01,-5.000000000000000000e+01,1.442067379624474484e+02,1.795507495209539339e+00
3.700000000000000000e+01,-5.000000000000000000e+01,1.441240127027875531e+02,1.809041084973641578e+00
